User,             Password,			Domain,				ImpersonationType, ImpersonationId,     Discovery,		CasURL,									EWSVersion,			UserSmtp, 						PreAuthenticate,	NumberOfSimultaneousCalls,	MillisecondsBeforeNextCall,		TestOpertation,				Param1,							Param2,                      Param3,     Param4         
danba,			  Mypassowrd1,		tailspintoys.com,	,                  ,                    DirectUrl,      http://65.53.1.244/ews/exchange.asmx,	Exchange2003,		administrator@tailspintoys.com, True,				3,							1,								ReadMimeForInboxAllItems,   ,                                ,                             ,
danba,			  Mypassowrd1,		tailspintoys.com,	,                  ,					DirectUrl,		http://65.53.1.244/ews/exchange.asmx,	Exchange2003,		administrator@tailspintoys.com, True,				3,							1,								ItemSearch,                 Othersd Things,                    ,                             IdOnly,
danba,			  Mypassowrd1,		tailspintoys.com,	,                  ,					DirectUrl,		http://65.53.1.244/ews/exchange.asmx,	Exchange2003,		administrator@tailspintoys.com, True,				2,							1,								ItemSearch,                 Mr. Jones,                       Body,                         ,
danba,			  Mypassowrd1,		tailspintoys.com,	,                  ,                    DirectUrl,      http://65.53.1.244/ews/exchange.asmx,	Exchange2003,		administrator@tailspintoys.com, True,				3,							1,								ReadMimeForInboxAllItems,   ,                                ,                             ,
danba,			  Mypassowrd1,		tailspintoys.com,	,                  ,					DirectUrl,		http://65.53.1.244/ews/exchange.asmx,	Exchange2003,		administrator@tailspintoys.com, True,				2,							1,								ItemSearch,                 Other sThings,                    ,                             IdOnly,
danba,			  Mypassowrd1,		tailspintoys.com,	,                  ,					DirectUrl,		http://65.53.1.244/ews/exchange.asmx,	Exchange2003,		administrator@tailspintoys.com, True,				4,							1,								ItemSearch,                 Mr. Joaes,                       Body,                         ,
danba,			  Mypassowrd1,		tailspintoys.com,	,                  ,                    DirectUrl,      http://65.53.1.244/ews/exchange.asmx,	Exchange2003,		administrator@tailspintoys.com, True,				2,							1,								ReadMimeForInboxAllItems,   ,                                ,                             ,
danba,			  Mypassowrd1,		tailspintoys.com,	,                  ,					DirectUrl,		http://65.53.1.244/ews/exchange.asmx,	Exchange2003,		administrator@tailspintoys.com, True,				5,							1,								ItemSearch,                 Other dvThings,                    ,                             IdOnly,
danba,			  Mypassowrd1,		tailspintoys.com,	,                  ,					DirectUrl,		http://65.53.1.244/ews/exchange.asmx,	Exchange2003,		administrator@tailspintoys.com, True,				4,							1,								ItemSearch,                 Mr. Jowes,                       Body,                         ,
danba,			  Mypassowrd1,		tailspintoys.com,	,                  ,                    DirectUrl,      http://65.53.1.244/ews/exchange.asmx,	Exchange2003,		administrator@tailspintoys.com, True,				2,							1,								ReadMimeForInboxAllItems,   ,                                ,                             ,
danba,			  Mypassowrd1,		tailspintoys.com,	,                  ,					DirectUrl,		http://65.53.1.244/ews/exchange.asmx,	Exchange2003,		administrator@tailspintoys.com, True,				2,							1,								ItemSearch,                 Other bThings,                    ,                             IdOnly,
danba,			  Mypassowrd1,		tailspintoys.com,	,                  ,					DirectUrl,		http://65.53.1.244/ews/exchange.asmx,	Exchange2003,		administrator@tailspintoys.com, True,				1,							1,								ItemSearch,                 Mr. Joes,                       Body,                         ,
